,date,calories,total_fat_g,protein_g,saturated_fat_g,cholesterol_mg,sodium_mg,carbohydrate_g,fiber_g,sugar_g,vitamin_d_iu,calcium_mg,potassium_mg,iron_mg
47,2014-01-01,101958.0,1293085238.4689999,1063831654.0990001,320491837.4,2311015277.0,40140086093.2,11467680470.896,614462509.396,4616200585.395,288351763.8,8252078657.15,34152265228.33,539140271.028
48,2014-04-01,111248.0,24346707264.705997,47644509290.86099,3889321947.0299997,2337541177.0,85928166119.95999,256424009572.664,36311693998.707,11224932959.602,106105011.7,192479020888.0,1318656188998.72,15913420359.001
49,2014-07-01,83291.0,352423288.77099997,471248885.93700004,85625159.59,405072479.0,13850074965.9,4806685067.085,338577220.168,1657126452.029,77178440.0,2984065885.01,15542612209.33,231095375.36900002
50,2014-10-01,109190.0,20289752906.358,39764053722.863,3240266214.51,1361798340.0,58548704666.82,210384357265.117,30360899663.649,7521437104.743,249931258.7,160317397220.69,1098567710513.6901,13147824027.537
51,2015-01-01,104836.0,1585952114.354,1353377607.481,391289472.37,2226185747.0,43142296734.64,13998683876.688,908235537.8189999,4616134123.836,558600272.3,9201878533.34,43964033249.88,683646320.651
52,2015-04-01,116282.0,35124648295.669,68435757537.574,5632121615.3,2500230487.0,97563831277.2,364319086442.321,52287843299.16699,13656235022.289,419674903.4,275790480626.19,1894107594037.3599,22689437201.696
53,2015-07-01,87739.0,467540870.46099997,291215027.983,116317394.56,587627752.0,11686632805.06,3489709693.351,142618024.78,1548848985.07,96465729.0,2711339677.82,9267523144.74,144855965.05
54,2015-10-01,110559.0,1740819583.8769999,1661909415.691,388314014.4,1377962409.0,38903000728.04,16434296798.972,1266561568.904,4217913768.029,206304100.2,9263571221.41,55738780598.81,808749255.2260001
55,2016-01-01,107549.0,1488855552.513,1033905990.158,361230296.05,1780041914.0,39452342469.3,12491411289.577,606471871.479,5008526191.778,291060823.5,7973074089.88,32885256899.42,547384036.357
56,2016-04-01,114190.0,2781433178.08,2109181691.4,675727970.8299999,2237499886.0,59950022614.54,22335061393.83,1297604386.832,8189274404.776999,334202936.2,13219793639.85,63545706005.32,1004583781.623
57,2016-07-01,85328.0,634968288.692,734909981.468,139690913.5,384645540.0,12061317203.619999,7233260993.089,602518468.7,1778613904.5709999,49173944.3,3410939854.59,24438504957.41,351115755.02000004
58,2016-10-01,114068.0,1685659425.35,960614645.714,420490114.0,1395294808.0,40560101048.28,10552020222.614,598843899.152,4757388773.13,221901436.5,8038136138.02,31610735541.1,443814048.046
59,2017-01-01,106760.0,33447861746.251,65433105626.341995,5303280829.969999,1830251711.0,62765676036.26,340550114820.955,49857336938.80499,8907454329.671999,334981752.0,261460265248.62,1796807698649.5999,21448224885.625
